idx,company,city,email,segment,readiness_score,confidence_score,offer_angle,query,brave_hits,from_cache,email_valid,generic_email,phone_present,website_present,online_booking_present,after_hours_claim,faq_coverage,multilingual_support,messaging_channel,handoff_signal,subject_v2,email_v2
32,Wilson Palace Bratislava,Bratislava,,invalid_contact,15,91,Manualny kontakt,Wilson Palace Bratislava Bratislava hotel booking check-in phone site:www.loftpremiumhotel.sk,0,0,0,0,1,1,1,1,1,0,1,1,Wilson Palace Bratislava: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Wilson Palace Bratislava v Bratislava – máte hodnotenie 4.8 (192 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Wilson Palace Bratislava.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
33,Hostel Bratislava,Bratislava,kontakt@example.com,invalid_contact,15,99,Manualny kontakt,Hostel Bratislava Bratislava hotel booking check-in phone site:www.hostelslovakia.sk,0,0,0,1,1,1,1,1,1,1,1,1,Hostel Bratislava: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Hostel Bratislava v Bratislava – máte hodnotenie 4.5 (195 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hostel Bratislava.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
34,BEIGLI Hotel & Garden,Bratislava,office@hotelbeigli.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,BEIGLI Hotel & Garden Bratislava hotel booking check-in phone site:www.hotelbeigli.sk,0,0,1,1,1,1,1,1,1,0,1,1,BEIGLI Hotel & Garden: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si BEIGLI Hotel & Garden v Bratislava – máte hodnotenie 4.7 (202 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre BEIGLI Hotel & Garden.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
35,Charming & Cozy - Ambiente Apartments - Check-in Point,Bratislava,sales@ambiente-apartments.com,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Charming & Cozy - Ambiente Apartments - Check-in Point Bratislava hotel booking check-in phone site:www.ambiente-apartments.com,0,0,1,1,1,1,1,1,1,0,1,1,Charming & Cozy - Ambiente Apartments - Check-in Point: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Charming & Cozy - Ambiente Apartments - Check-in Point v Bratislava – máte hodnotenie 4.5 (215 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Charming & Cozy - Ambiente Apartments - Check-in Point.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
36,Garni Hotel DOCK,Bratislava,recepcia@hoteldock.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Garni Hotel DOCK Bratislava hotel booking check-in phone site:www.hoteldock.sk,0,1,1,1,1,1,1,1,1,0,1,1,Garni Hotel DOCK: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Garni Hotel DOCK v Bratislava – máte hodnotenie 4.6 (224 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Garni Hotel DOCK.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
37,7Days B&B,Bratislava,info@senger.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,7Days B&B Bratislava hotel booking check-in phone site:www.myhotel.sk,0,0,1,1,1,1,1,1,1,0,1,1,7Days B&B: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si 7Days B&B v Bratislava – máte hodnotenie 4.4 (225 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre 7Days B&B.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
38,BAROK Hotel a Apartmany,Bratislava,bootstrap@5.0.0-beta1,invalid_contact,15,99,Manualny kontakt,BAROK Hotel a Apartmany Bratislava hotel booking check-in phone site:www.barok.sk,5,0,0,0,1,1,1,1,1,1,1,1,BAROK Hotel a Apartmany: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si BAROK Hotel a Apartmany v Bratislava – máte hodnotenie 4.6 (228 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre BAROK Hotel a Apartmany.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
39,Botel Dunajsky Pivovar,Bratislava,dunajskypivovar@dunajskypivovar.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Botel Dunajsky Pivovar Bratislava hotel booking check-in phone site:www.dunajskypivovar.sk,0,0,1,0,1,1,1,1,1,0,1,1,Botel Dunajsky Pivovar: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Botel Dunajsky Pivovar v Bratislava – máte hodnotenie 3.7 (238 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Botel Dunajsky Pivovar.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
40,Uninova Hostel,Bratislava,uninovahostel@uninovahostel.sk,automation_candidate,92,99,AI recepcia pre 24/7 odpovede a handoff,Uninova Hostel Bratislava hotel booking check-in phone site:www.uninovahostel.sk,5,1,1,0,1,1,1,1,1,1,1,1,Uninova Hostel: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Uninova Hostel v Bratislava – máte hodnotenie 3.6 (249 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Uninova Hostel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
41,Reštaurácia Albrecht,Staré Mesto,restaurant@hotelalbrecht.sk,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,Reštaurácia Albrecht Staré Mesto hotel booking check-in phone site:hotelalbrecht.sk,0,0,1,0,1,1,1,1,1,0,1,1,Reštaurácia Albrecht: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Reštaurácia Albrecht v Staré Mesto – máte hodnotenie 4.7 (265 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Reštaurácia Albrecht.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
42,Ubytovňa Nobelova,Bratislava,,invalid_contact,10,83,Manualny kontakt,Ubytovňa Nobelova Bratislava hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Ubytovňa Nobelova: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Ubytovňa Nobelova v Bratislava – máte hodnotenie 3.6 (275 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Ubytovňa Nobelova.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
43,Hotel Arcus,Bratislava,info@hotelarcus.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Hotel Arcus Bratislava hotel booking check-in phone site:www.hotelarcus.sk,0,0,1,1,1,1,1,1,1,0,1,1,Hotel Arcus: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Hotel Arcus v Bratislava – máte hodnotenie 4.4 (292 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hotel Arcus.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
44,Centrum účelových zariadení - Hotel SUZA,Bratislava,cuz@cuz.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Centrum účelových zariadení - Hotel SUZA Bratislava hotel booking check-in phone site:cuz.sk,0,0,1,0,1,1,1,1,1,0,1,1,Centrum účelových zariadení - Hotel SUZA: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Centrum účelových zariadení - Hotel SUZA v Bratislava – máte hodnotenie 3.4 (306 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Centrum účelových zariadení - Hotel SUZA.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
45,Hotel Esprit,Petržalka,hotelesprit@hotelesprit.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Hotel Esprit Petržalka hotel booking check-in phone site:hotelesprit.sk,0,0,1,0,1,1,1,1,1,0,1,1,Hotel Esprit: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Hotel Esprit v Petržalka – máte hodnotenie 4.2 (315 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hotel Esprit.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
46,Hyde Park Hostel,Bratislava,talentarium@gmail.com,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,Hyde Park Hostel Bratislava hotel booking check-in phone site:www.hyde-park.sk,0,0,1,0,1,1,1,1,1,0,1,1,Hyde Park Hostel: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Hyde Park Hostel v Bratislava – máte hodnotenie 4.5 (339 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hyde Park Hostel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
47,Villa Ivica,Marianka,villa@ivica.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Villa Ivica Marianka hotel booking check-in phone site:www.penzionivica.sk,0,0,1,0,1,1,1,1,1,0,1,1,Villa Ivica: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Villa Ivica v Marianka – máte hodnotenie 4.2 (342 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Villa Ivica.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
48,BlueBell Hotel,Bratislava,info@senger.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,BlueBell Hotel Bratislava hotel booking check-in phone site:www.myhotel.sk,0,1,1,1,1,1,1,1,1,0,1,1,BlueBell Hotel: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si BlueBell Hotel v Bratislava – máte hodnotenie 4.5 (346 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre BlueBell Hotel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
49,Art Hotel William,Bratislava,,invalid_contact,15,91,Manualny kontakt,Art Hotel William Bratislava hotel booking check-in phone site:www.arthotelwilliam.sk,0,0,0,0,1,1,1,1,1,0,1,1,Art Hotel William: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Art Hotel William v Bratislava – máte hodnotenie 4.2 (375 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Art Hotel William.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
50,Hotel Albrecht,Bratislava,restaurant@hotelalbrecht.sk,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,Hotel Albrecht Bratislava hotel booking check-in phone site:www.hotelalbrecht.sk,0,0,1,0,1,1,1,1,1,0,1,1,Hotel Albrecht: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Hotel Albrecht v Bratislava – máte hodnotenie 4.5 (376 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hotel Albrecht.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
